symbol,Date,Close,High,low,Open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-09-22 00:00:00+00:00,111.81,112.86,109.16,112.68,183055373,111.2621687,112.3070241,108.6251528,112.127906,183055373,0,1
AAPL,2020-09-23 00:00:00+00:00,107.12,112.11,106.77,111.62,150718671,106.5951482,111.5606988,106.246863,111.0730997,150718671,0,1
AAPL,2020-09-24 00:00:00+00:00,108.22,110.25,105,105.17,167743349,107.6897585,109.7098122,104.4855354,104.6547025,167743349,0,1
AAPL,2020-09-25 00:00:00+00:00,112.28,112.44,107.67,108.43,149981441,111.7298659,111.8890819,107.1424533,107.8987296,149981441,0,1
AAPL,2020-09-28 00:00:00+00:00,114.96,115.32,112.78,115.01,137672403,114.3967348,114.7549709,112.2274161,114.4464898,137672403,0,1
AAPL,2020-09-29 00:00:00+00:00,114.09,115.31,113.57,114.55,100060526,113.5309975,114.7450199,113.0135453,113.9887437,100060526,0,1
AAPL,2020-09-30 00:00:00+00:00,115.81,117.26,113.62,113.79,142675184,115.2425701,116.6854656,113.0633003,113.2324674,142675184,0,1
AAPL,2020-10-01 00:00:00+00:00,116.79,117.72,115.83,117.64,116120440,116.2177684,117.1432117,115.2624721,117.0636037,116120440,0,1
AAPL,2020-10-02 00:00:00+00:00,113.02,115.37,112.22,112.89,144711986,112.4662401,114.8047259,111.6701599,112.3368771,144711986,0,1
AAPL,2020-10-05 00:00:00+00:00,116.5,116.65,113.55,113.91,106243839,115.9291893,116.0784544,112.9936433,113.3518794,106243839,0,1
AAPL,2020-10-06 00:00:00+00:00,113.16,116.12,112.25,115.7,161498212,112.6055542,115.5510512,111.7000129,115.133109,161498212,0,1
AAPL,2020-10-07 00:00:00+00:00,115.08,115.55,114.13,114.62,96848985,114.5161468,114.983844,113.5708015,114.0584007,96848985,0,1
AAPL,2020-10-08 00:00:00+00:00,114.97,116.4,114.5901,116.25,83477153,114.4066858,115.8296793,114.0286472,115.6804142,83477153,0,1
AAPL,2020-10-09 00:00:00+00:00,116.97,117,114.92,115.28,100506865,116.3968865,116.4267395,114.3569308,114.7151669,100506865,0,1
AAPL,2020-10-12 00:00:00+00:00,124.4,125.18,119.2845,120.06,240226769,123.790482,124.5666602,118.7000462,119.4717465,240226769,0,1
AAPL,2020-10-13 00:00:00+00:00,121.1,125.39,119.65,125.27,262330451,120.5066509,124.7756313,119.0637554,124.6562193,262330451,0,1
AAPL,2020-10-14 00:00:00+00:00,121.19,123.03,119.62,121,151062308,120.5962099,122.4271945,119.0339024,120.4071408,151062308,0,1
AAPL,2020-10-15 00:00:00+00:00,120.71,121.2,118.15,118.72,112559219,120.1185617,120.6061609,117.5711049,118.1383121,112559219,0,1
AAPL,2020-10-16 00:00:00+00:00,119.02,121.548,118.81,121.28,115393808,118.4368422,120.9524558,118.2278711,120.6857689,115393808,0,1
AAPL,2020-10-19 00:00:00+00:00,115.98,120.419,115.66,119.96,120639337,115.4117371,119.8289875,115.093305,119.3722365,120639337,0,1
AAPL,2020-10-20 00:00:00+00:00,117.51,118.98,115.63,116.2,124423728,116.9342407,118.3970382,115.063452,115.6306592,124423728,0,1
